status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,tuid,high,,75,75,VYy1MJ4BXb1gYwgPz7Tv,VYy1MJ4BXb1gYwgPz7Tv,,,7db25e9beb586885,7db25e9beb586885,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,76,76,Voy1MJ4BXb1gYwgPz7Tv,Voy1MJ4BXb1gYwgPz7Tv,,,f1b0be93786d4ef6,f1b0be93786d4ef6,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,77,77,V4y1MJ4BXb1gYwgPz7Tv,V4y1MJ4BXb1gYwgPz7Tv,,,ad29b57baa881a4a,ad29b57baa881a4a,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,78,78,WIy1MJ4BXb1gYwgPz7Tv,WIy1MJ4BXb1gYwgPz7Tv,,,f5e4b1a40a7ac218,f5e4b1a40a7ac218,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,79,79,WYy1MJ4BXb1gYwgPz7Tv,WYy1MJ4BXb1gYwgPz7Tv,,,ae63b8a30cd895e2,ae63b8a30cd895e2,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,80,80,Woy1MJ4BXb1gYwgPz7Tv,Woy1MJ4BXb1gYwgPz7Tv,,,e2f311a3facb45bf,e2f311a3facb45bf,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,81,81,W4y1MJ4BXb1gYwgPz7Tv,W4y1MJ4BXb1gYwgPz7Tv,,,6213970fdbc3c5f0,6213970fdbc3c5f0,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,82,82,XIy1MJ4BXb1gYwgPz7Tv,XIy1MJ4BXb1gYwgPz7Tv,,,46cafaba61c23e36,46cafaba61c23e36,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,83,83,XYy1MJ4BXb1gYwgPz7Tv,XYy1MJ4BXb1gYwgPz7Tv,,,4548ad59b73cbb71,4548ad59b73cbb71,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,84,84,Xoy1MJ4BXb1gYwgPz7Tv,Xoy1MJ4BXb1gYwgPz7Tv,,,688e9d4fd259d6a9,688e9d4fd259d6a9,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,85,85,X4y1MJ4BXb1gYwgPz7Tv,X4y1MJ4BXb1gYwgPz7Tv,,,0b331c0ac43a1811,0b331c0ac43a1811,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,86,86,YIy1MJ4BXb1gYwgPz7Tv,YIy1MJ4BXb1gYwgPz7Tv,,,eba7eebf610602d0,eba7eebf610602d0,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,87,87,YYy1MJ4BXb1gYwgPz7Tv,YYy1MJ4BXb1gYwgPz7Tv,,,a0526d2e9282f9a9,a0526d2e9282f9a9,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,88,88,Yoy1MJ4BXb1gYwgPz7Tv,Yoy1MJ4BXb1gYwgPz7Tv,,,98d219f10bd7ceb7,98d219f10bd7ceb7,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,89,89,Y4y1MJ4BXb1gYwgPz7Tv,Y4y1MJ4BXb1gYwgPz7Tv,,,4cc39dccef9bce0c,4cc39dccef9bce0c,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,90,90,ZIy1MJ4BXb1gYwgPz7Tv,ZIy1MJ4BXb1gYwgPz7Tv,,,c0096b03edd41c8f,c0096b03edd41c8f,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,91,91,ZYy1MJ4BXb1gYwgPz7Tv,ZYy1MJ4BXb1gYwgPz7Tv,,,97f5493e8561dab2,97f5493e8561dab2,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,92,92,Zoy1MJ4BXb1gYwgPz7Tv,Zoy1MJ4BXb1gYwgPz7Tv,,,15d5f13be6941afb,15d5f13be6941afb,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
