status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,alignment_text_fingerprint,high,,79,79,bx2xMJ4BfLc99Jc4X45_,Po2cN54BXb1gYwgPS09o,Y,,ae63b8a30cd895e2,ae63b8a30cd895e2,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,80,80,cB2xMJ4BfLc99Jc4X45_,P42cN54BXb1gYwgPS09o,Y,,e2f311a3facb45bf,e2f311a3facb45bf,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,81,81,cR2xMJ4BfLc99Jc4X45_,QI2cN54BXb1gYwgPS09o,Y,,6213970fdbc3c5f0,6213970fdbc3c5f0,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,82,82,ch2xMJ4BfLc99Jc4X45_,QY2cN54BXb1gYwgPS09o,Y,,46cafaba61c23e36,46cafaba61c23e36,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,83,83,cx2xMJ4BfLc99Jc4X45_,Qo2cN54BXb1gYwgPS09o,Y,,4548ad59b73cbb71,4548ad59b73cbb71,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,84,84,dB2xMJ4BfLc99Jc4X45_,Q42cN54BXb1gYwgPS09o,Y,,688e9d4fd259d6a9,688e9d4fd259d6a9,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,85,85,dR2xMJ4BfLc99Jc4X45_,RI2cN54BXb1gYwgPS09o,Y,,0b331c0ac43a1811,0b331c0ac43a1811,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,86,86,dh2xMJ4BfLc99Jc4X45_,RY2cN54BXb1gYwgPS09o,Y,,eba7eebf610602d0,eba7eebf610602d0,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,87,87,dx2xMJ4BfLc99Jc4X45_,Ro2cN54BXb1gYwgPS09o,Y,,a0526d2e9282f9a9,a0526d2e9282f9a9,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,88,88,eB2xMJ4BfLc99Jc4X45_,R42cN54BXb1gYwgPS09o,Y,,98d219f10bd7ceb7,98d219f10bd7ceb7,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,89,89,eR2xMJ4BfLc99Jc4X45_,SI2cN54BXb1gYwgPS09o,Y,,4cc39dccef9bce0c,4cc39dccef9bce0c,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,90,90,eh2xMJ4BfLc99Jc4X45_,SY2cN54BXb1gYwgPS09o,Y,,c0096b03edd41c8f,c0096b03edd41c8f,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,91,91,ex2xMJ4BfLc99Jc4X45_,So2cN54BXb1gYwgPS09o,Y,,97f5493e8561dab2,97f5493e8561dab2,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,92,92,fB2xMJ4BfLc99Jc4X45_,S42cN54BXb1gYwgPS09o,Y,,15d5f13be6941afb,15d5f13be6941afb,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,93,93,fR2xMJ4BfLc99Jc4X45_,TI2cN54BXb1gYwgPS09o,Y,,3cb3054e4070f311,3cb3054e4070f311,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,94,94,fh2xMJ4BfLc99Jc4X45_,TY2cN54BXb1gYwgPS09o,Y,,705916a825ecd8c5,705916a825ecd8c5,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,95,95,fx2xMJ4BfLc99Jc4X45_,To2cN54BXb1gYwgPS09o,Y,,9c417e5bfd3c62b5,9c417e5bfd3c62b5,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,96,96,gB2xMJ4BfLc99Jc4X45_,T42cN54BXb1gYwgPS09o,Y,,83f64fcfbab447fd,83f64fcfbab447fd,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,97,97,gR2xMJ4BfLc99Jc4X45_,UI2cN54BXb1gYwgPS09o,Y,,fec375e2a0c0dd57,fec375e2a0c0dd57,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,98,98,gh2xMJ4BfLc99Jc4X45_,UY2cN54BXb1gYwgPS09o,Y,,e9c7e31a38637566,e9c7e31a38637566,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
